ID;Kreise;Flaeche
10041;Regionalverband Saarbrücken, Landkreis;410.95
10042;Merzig-Wadern, Landkreis;556.66
10043;Neunkirchen, Landkreis;249.80
10044;Saarlouis, Landkreis;459.35
10045;Saarpfalz-Kreis;418.27
10046;Sankt Wendel, Landkreis;476.07
11000;Berlin, kreisfreie Stadt;891.12
12051;Brandenburg an der Havel, kreisfreie Stadt;229.72
12052;Cottbus, kreisfreie Stadt;165.62
12053;Frankfurt (Oder), kreisfreie Stadt;147.85
12054;Potsdam, kreisfreie Stadt;188.26
12060;Barnim, Landkreis;1479.67
12061;Dahme-Spreewald, Landkreis;2274.49
12062;Elbe-Elster, Landkreis;1899.57
12063;Havelland, Landkreis;1727.30
12064;Märkisch-Oderland, Landkreis;2158.65
12065;Oberhavel, Landkreis;1808.18
12066;Oberspreewald-Lausitz, Landkreis;1223.09
12067;Oder-Spree, Landkreis;2256.75
12068;Ostprignitz-Ruppin, Landkreis;2526.57
12069;Potsdam-Mittelmark, Landkreis;2592.02
12070;Prignitz, Landkreis;2138.55
12071;Spree-Neiße, Landkreis;1656.97
12072;Teltow-Fläming, Landkreis;2104.23
12073;Uckermark, Landkreis;3076.89
13003;Rostock, kreisfreie Stadt;181.36
13004;Schwerin, kreisfreie Stadt;130.52
13071;Mecklenburgische Seenplatte, Landkreis;5495.63
13072;Rostock, Landkreis;3431.29
13073;Vorpommern-Rügen, Landkreis;3214.45
13074;Nordwestmecklenburg, Landkreis;2127.12
13075;Vorpommern-Greifswald, Landkreis;3945.58
13076;Ludwigslust-Parchim, Landkreis;4766.78
14511;Chemnitz, kreisfreie Stadt;221.05
14521;Erzgebirgskreis;1827.90
14522;Mittelsachsen, Landkreis;2116.85
14523;Vogtlandkreis;1412.43
14524;Zwickau, Landkreis;949.79
14612;Dresden, kreisfreie Stadt;328.48
14625;Bautzen, Landkreis;2395.60
14626;Görlitz, Landkreis;2111.42
14627;Meißen, Landkreis;1454.59
14628;Sächsische Schweiz-Osterzgebirge, Landkreis;1654.18
14713;Leipzig, kreisfreie Stadt;297.80
14729;Leipzig, Landkreis;1651.32
14730;Nordsachsen, Landkreis;2028.56
15001;Dessau-Roßlau, kreisfreie Stadt;244.75
15002;Halle (Saale), kreisfreie Stadt;135.02
15003;Magdeburg, kreisfreie Stadt;201.01
15081;Altmarkkreis Salzwedel;2293.05
15082;Anhalt-Bitterfeld, Landkreis;1453.54
15083;Börde, Landkreis;2366.59
15084;Burgenlandkreis;1413.70
15085;Harz, Landkreis;2104.53
15086;Jerichower Land, Landkreis;1576.85
15087;Mansfeld-Südharz, Landkreis;1448.85
15088;Saalekreis;1433.71
15089;Salzlandkreis;1426.83
15090;Stendal, Landkreis;2423.24
15091;Wittenberg, Landkreis;1930.45
16051;Erfurt, kreisfreie Stadt;269.91
16052;Gera, kreisfreie Stadt;152.19
16053;Jena, kreisfreie Stadt;114.76
16054;Suhl, kreisfreie Stadt;103.03
16055;Weimar, kreisfreie Stadt;84.48
16056;Eisenach, kreisfreie Stadt;104.17
16061;Eichsfeld, Landkreis;943.07
16062;Nordhausen, Landkreis;713.91
16063;Wartburgkreis;1307.43
16064;Unstrut-Hainich-Kreis;979.69
16065;Kyffhäuserkreis;1037.89
16066;Schmalkalden-Meiningen, Landkreis;1210.73
16067;Gotha, Landkreis;936.08
16068;Sömmerda, Landkreis;806.84
16069;Hildburghausen, Landkreis;938.42
16070;Ilm-Kreis;843.71
16071;Weimarer Land, Landkreis;804.48
16072;Sonneberg, Landkreis;433.61
16073;Saalfeld-Rudolstadt, Landkreis;1036.03
16074;Saale-Holzland-Kreis;815.24
16075;Saale-Orla-Kreis;1151.30
16076;Greiz, Landkreis;845.98
16077;Altenburger Land, Landkreis;569.41
