GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2018;03355;Lüneburg, Landkreis;2638;2691;3498;4481;2865;2176;5644;5619;5578;5472;5424;6408;8082;7172;5545;8483;7767;2452;2607;3314;4283;2757;2072;5686;5247;5316;5817;5704;6732;8242;7286;5787;9283;11244
31.12.2018;03356;Osterholz, Landkreis;1583;1639;2111;2709;1832;1279;2852;2707;2802;3139;3121;3976;5377;4854;3856;6120;5808;1525;1486;1899;2511;1698;1121;2452;2443;2914;3346;3279;4155;5440;4909;3944;6741;7889
31.12.2018;03357;Rotenburg (Wümme), Landkreis;2237;2214;2966;4143;2879;2053;5003;4931;4963;4586;4627;5808;7470;6948;5463;8376;7465;2191;2065;2791;3849;2665;1818;4073;4152;4445;4586;4481;5917;7186;6833;5570;8562;10139
31.12.2018;03358;Heidekreis;1924;2029;2592;3413;2282;1701;4189;4392;4200;3851;3847;4763;6033;5876;4633;7045;6987;1800;1791;2381;3142;2095;1496;3347;3563;3816;3866;3809;4823;6137;5824;4813;7394;9901
31.12.2018;03359;Stade, Landkreis;3143;2978;4052;5025;3237;2446;5927;6044;6091;6049;6020;7162;8824;8156;6324;10176;9389;2889;2825;3617;4751;3214;2217;5111;5326;5826;5989;5994;6985;8735;8053;6613;11125;12789
31.12.2018;03360;Uelzen, Landkreis;1102;1127;1495;2140;1331;1061;2455;2400;2452;2301;2458;3174;4052;4032;3303;5055;5303;1041;1067;1424;2026;1336;885;2246;2235;2222;2349;2561;3284;4120;4070;3421;5458;7586
31.12.2018;03361;Verden, Landkreis;2028;2101;2605;3293;2144;1566;3874;3685;3830;3818;3740;4731;5983;5404;4561;7269;6534;2044;1998;2517;3199;2100;1458;3291;3320;3807;4000;3820;4902;5971;5785;4724;7726;8964
31.12.2018;03401;Delmenhorst, kreisfreie Stadt;1300;1147;1422;1941;1290;880;2299;2579;2518;2136;2208;2562;3194;3014;2385;3880;3682;1256;1112;1315;1694;1078;831;2102;2346;2323;2186;2191;2654;3122;2949;2546;4403;5062
31.12.2018;03402;Emden, kreisfreie Stadt;760;732;929;1180;734;613;1824;1932;1662;1512;1360;1757;2069;1806;1532;2514;2168;687;645;864;1096;723;572;1667;1628;1457;1455;1327;1715;1960;1795;1555;2762;3203
31.12.2018;03403;Oldenburg (Oldenburg), kreisfreie Stadt;2321;2268;2796;3543;2274;1885;6084;7344;6281;5170;4536;5315;6428;5760;4726;7173;6597;2334;2080;2717;3458;2171;1873;6925;7444;6365;5249;4908;5544;6910;6358;5234;8220;9919
